region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Ústecký kraj,50.59333901,13.56491935,1200000.0,80,2,1.0,156.0,2733.0,2806.0,,84.0,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-lucni/3518095436,Panelová,5.0,3.0,Litvínov,Janov,Ústřední dálkové,4.0,1.0,15000.0
Ústecký kraj,50.68615904,13.88158929,1200000.0,36,2,6.0,214.0,3046.0,,,170.0,https://www.sreality.cz/detail/prodej/byt/1+1/krupka-marsov-karla-capka/3157127244,Panelová,4.0,3.0,Krupka,Maršov,Ústřední dálkové,1.0,1.0,33333.333333333336
Karlovarský kraj,50.16149905,12.64521212,1200000.0,25,1,1.0,1166.0,2237.0,,,299.0,https://www.sreality.cz/detail/prodej/byt/1+kk/dolni-rychnov-dolni-rychnov-palackeho/2423669580,Smíšená,2.0,2.0,Dolní Rychnov, Sokolov,,1.0,0.0,48000.0
Karlovarský kraj,50.23621088,12.74791922,1200000.0,20,1,4.0,349.0,4374.0,,,217.0,https://www.sreality.cz/detail/prodej/byt/1+kk/chodov-chodov-u-porcelanky/4018982988,Panelová,2.0,5.0,Chodov, Sokolov,Ústřední dálkové,1.0,0.0,60000.0
Ústecký kraj,50.60793133,13.7401462,1200000.0,61,2,5.0,124.0,,,,81.0,https://www.sreality.cz/detail/prodej/byt/2+1/duchcov-duchcov-horska-cesta/2515320908,Panelová,3.0,3.0,Duchcov, Teplice,Ústřední dálkové,2.0,1.0,19672.131147540982
Ústecký kraj,50.59638065,13.61610243,1220000.0,36,2,1.0,71.0,301.0,261.0,,45.0,https://www.sreality.cz/detail/prodej/byt/1+1/litvinov-horni-litvinov-capkova/75665484,Panelová,3.0,5.0,Litvínov,Horní Litvínov,Ústřední dálkové,1.0,1.0,33888.88888888889
Karlovarský kraj,50.13723443,12.80013744,1221000.0,51,1,1.0,190.0,,,,344.0,https://www.sreality.cz/detail/prodej/byt/2+1/horni-slavkov-horni-slavkov-postovni/2317205580,Cihlová,3.0,2.0,Horní Slavkov, Sokolov,Ústřední dálkové,2.0,1.0,23941.176470588234
Ústecký kraj,50.6867699,13.87962197,1225000.0,68,2,1.0,260.0,3073.0,,,270.0,https://www.sreality.cz/detail/prodej/byt/3+1/krupka-marsov-dukelskych-hrdinu/1650499660,Panelová,5.0,1.0,Krupka,Maršov,Ústřední dálkové,3.0,1.0,18014.70588235294
Kraj Vysočina,49.83652184,15.52175705,1249000.0,59,1,1.0,2508.0,,,,283.0,https://www.sreality.cz/detail/prodej/byt/2+kk/vilemov-spytice-/511337292,Smíšená,2.0,2.0,Vilémov,Spytice,,2.0,0.0,21169.491525423728
Ústecký kraj,50.64286174,13.99449127,1249500.0,20,2,6.0,603.0,509.0,,,133.0,https://www.sreality.cz/detail/prodej/byt/1+kk/trmice-trmice-/137429836,Panelová,5.0,10.0,Trmice, Ústí nad Labem,,1.0,0.0,62475.0
Ústecký kraj,50.64286174,13.99449127,1249500.0,20,2,6.0,197.0,1033.0,,,31.0,https://www.sreality.cz/detail/prodej/byt/1+kk/trmice-trmice-/30859340,Panelová,5.0,10.0,Trmice, Ústí nad Labem,,1.0,0.0,62475.0
Moravskoslezský kraj,49.86383194,18.53473828,1250000.0,68,1,1.0,273.0,971.0,,,43.0,https://www.sreality.cz/detail/prodej/byt/2+1/karvina-nove-mesto-havirska/476865356,Cihlová,2.0,2.0,Karviná,Nové Město,Plynový kotel,2.0,1.0,18382.352941176472
Ústecký kraj,50.362406,13.698054,1250000.0,19,2,5.0,38.0,,,,210.0,https://www.sreality.cz/detail/prodej/byt/1+kk/postoloprty-postoloprty-jiraskovo-namesti/2145157196,Panelová,2.0,4.0,Postoloprty, Louny,Radiátory,1.0,0.0,65789.47368421052
Karlovarský kraj,50.1889308,12.6256212,1250000.0,85,1,1.0,446.0,3385.0,,,160.0,https://www.sreality.cz/detail/prodej/byt/4+kk/svatava-svatava-pohranicni-straze/894427980,Cihlová,2.0,2.0,Svatava, Sokolov,,4.0,0.0,14705.882352941177
